"TID","EN","FR","DE","ES","IT","NL","NO","PT","TR","JP","CN"
"TID_TUTORIAL_ELIXIR_1","Elixir is essential for training troops and building many structures.","L'élixir est essentiel pour former les troupes et construire des bâtiments.","Elixier ist notwendig, um Truppen zu trainieren und viele Gebäude zu errichten.","El elixir es esencial para adiestrar tropas y construir muchas estructuras.","L´elisir è fondamentale per addestrare le truppe e costruire molte strutture.","Elixir heb je nodig voor het trainen van troepen en het bouwen van gebouwen.","Eliksir er avgjørende for å trene soldater og bygge mange strukturer.","O Elixir é essencial para a formação de tropas e construção de várias estruturas.","İksir askerleri eğitmek ve birçok binayı inşa etmek için gereklidir.","エリクサーはユニットを訓練したり、\nいくつもの建物を建設するのに\n不可欠です。","啊，忘记告诉您了，圣水对训练军队、搭建建筑尤为重要。"
"TID_TUTORIAL_ELIXIR_2","You can pump Elixir from the underground Ley Line. Let's try it!","Vous pouvez pomper l´élixir depuis les lignes telluriques. Essayez pour voir !","Du kannst Elixier aus der Kraftlinie im Untergrund pumpen. Versuch es mal!","Puedes extraer elixir de las Líneas Ley que pasan por debajo de la aldea.¡Inténtalo!","Puoi pompare Elisir dalla Ley Line sotterranea. Proviamo!","Je kan elixir oppompen via de ondergrondse leylijn. Probeer het maar!","Du kan pumpe eliksir fra den underjordiske leylinjen. La oss prøve det!","Você pode bombear Elixir do subsolo. Vamos tentar!","Yeraltındaki Ley Hattından İksir pompalayabilirsin. Haydi dene!","エリクサーポンプは\n村の地下にあるレイラインから\nエリクサーをくみ上げてくれます。\nやってみましょう！","您能从地下获取圣水。试试看吧！"
"TID_TUTORIAL_ELIXIR_STORAGE_1","The collector can only store a small amount of Elixir.","L'extracteur ne peut contenir qu'une petite quantité d'élixir.","Der Sammler kann nur eine kleine Menge Elixier lagern.","El recolector solo puede almacenar una pequeña cantidad de elixir.","L'estrattore può contenere solo una piccola quantità di elisir.","De pomp kan maar een kleine hoeveelheid elixir opslaan.","Samleren kan bare lagre en liten mengde eliksir.","O coletor só pode armazenar uma pequena quantidade de Elixir.","Toplayıcı yalnızca az bir miktar İksir depolayabilir.","エリクサーポンプそのものには\n少量のエリクサーしか貯めておけません。","圣水收集器只能存储很少量的圣水。"
"TID_TUTORIAL_ELIXIR_STORAGE_2","Let's build a Storage vat so we can stockpile the stuff!","Construisons un réservoir pour augmenter notre capacité de stockage !","Bauen wir ein Lager, damit wir das Zeug horten können!","¡Construyamos un almacén para guardar las cosas!","Costruiamo un Deposito in modo da poterlo conservare.","Bouw een tank zodat we er zoveel mogelijk van op kunnen slaan!","La oss bygge en lagertank så vi kan oppbevare mer av stoffet!","Vamos construir um tanque de armazenamento para que possamos estocar o material!","Stoklamak için haydi bir Depo inşa edelim!","エリクサータンクを建設して、\nエリクサーを貯めておける\nようにしましょう！","让我们来搭建一个圣水瓶吧，这样就可以存储圣水了！"
"TID_TUTORIAL_GOLD_STORAGE_1","We also need a safe place to store our gold reserves.","Il nous faut également un endroit sûr où stocker nos réserves d'or.","Außerdem brauchen wir einen sicheren Ort für unsere Goldreserven.","También necesitamos un lugar seguro para las reservas de oro.","Ci serve anche un luogo sicuro, dove conservare le nostre riserve d´oro.","We hebben ook een veilige plek nodig om ons goud op te slaan.","Vi trenger også et trygt sted å lagre gullreserven vår.","Precisamos também de um lugar seguro para armazenar nossas reservas de ouro.","Altın kaynaklarımızı saklamak için güvenli bir yer de gerekiyor.","ゴールドを保管できる\n安全な場所もほしいですね。","我们还要一个安全的地点来储藏黄金资源。"
"TID_TUTORIAL_GOLD_STORAGE_2","Build a Gold Storage so we can stockpile gold!","Construisez une réserve d'or pour augmenter notre capacité de stockage !","Baue ein Goldlager, damit wir das Gold horten können!","¡Construye un almacén de oro para poder guardarlo!","Costruisci un Deposito per accumulare l´oro.","Bouw een kluis zodat we het goud veilig op kunnen bergen!","Bygg et gullager så vi kan oppbevare mer gull!","Construa uma Armazenagem de Ouro para estocarmos ouro!","Altın stoklayabilmemiz için bir Altın Deposu inşa et!","金庫を建設して\nゴールドを貯めておける\nようにしましょう！","搭建一个储金罐，这样可以存储大量黄金！"
"TID_TUTORIAL_BARRACK_1","Chief, we need an army to fight those goblins! Let's build a Barracks.","Chef, nous avons besoin d'une armée pour combattre ces gobelins ! Construisons une caserne.","Häuptling, wir brauchen eine Armee, um mit diesen Kobolden fertigzuwerden! Bauen wir eine Kaserne.","¡Necesitamos un ejército para luchar contra los duendes! Construyamos un cuartel.","Capo, ci serve un esercito per combattere i Goblin! Costruiamo una Caserma.","Chief, we hebben een leger nodig om tegen die gobelins te vechten! Bouw een kazerne.","Høvding, vi trenger en armé til å bekjempe de nissene! La oss bygge brakker.","Chefe, precisamos de um exército para lutar contra os goblins! Vamos construir um Quartel.","Şef, bu goblinlerle savaşmak için bir ordu lazım! Haydi bir Kışla inşa edelim.","チーフ、ゴブリンと戦うには\n軍団が必要です！\n兵舎を建設しましょう。","首领，我们需要训练一支军队去攻打那些哥布林！让我们修建一个训练营吧。"
"TID_TUTORIAL_TRAIN_1","Now let's train some troops!","Formons des troupes !","Und jetzt lass uns ein paar Truppen trainieren!","¡Preparemos a las tropas!","Adesso addestriamo delle truppe!","Train nu wat troepen!","La oss trene noen soldater!","Agora vamos treinar algumas tropas!","Şimdi biraz asker eğitelim!","それではユニットを訓練しましょう！","现在开始训练我们的士兵吧！"
"TID_TUTORIAL_TRAIN_2","Tap the Barracks and choose Train Troops","Touchez la caserne puis Former des troupes","Tippe die Kaserne an und wähle ,,Truppen trainieren\q","Toca el cuartel y selecciona \qEntrenar\q.","Tocca la Caserma e quindi seleziona Addestra truppe.","Tik op de kazerne en kies Troepen trainen","Trykk på brakkene og velg Tren soldater","Toque o Quartel e escolha Treinar Tropas","Kışlaya dokunun ve Asker Eğit'i seçin","兵舎をタップして、\n「ユニットの訓練」を選んでください。","点击训练营，开始训练士兵"
"TID_TUTORIAL_CHANGE_NAME","That was a great battle! How shall you be known in our history?","Quelle bataille ! Sous quel nom souhaitez-vous entrer dans l'histoire ?","Das war ein toller Kampf! Wie sollst du in unserer Geschichte erinnert werden?","¡Ha sido una gran batalla! ¿Como deberiamos conocerte en nuestra historia?","È stata una battaglia grandiosa! Come sarai ricordato nella nostra storia?","Dat was een geweldig gevecht! Hoe wil je genoemd worden?","Det var et mektig slag! Hvordan skal vi beskrive deg i historien vår?","Essa foi uma grande batalha! Como você deve ser conhecido em nossa história?","Şahane bir savaştı bu! Tarihimizde nasıl bilineceksin?","見事な一戦でしたね！\nチーフはどんな名前を\n歴史に残すのでしょう？","这一仗打得精彩！让我们为您的村庄取个名字吧。"
"TID_TUTORIAL_TOWN_HALL_1","With the gold we took from the goblins, we can afford to upgrade the Town Hall.","Grâce à l'or que nous avons pris aux gobelins, nous pouvons maintenant améliorer l'hôtel de ville.","Mit dem Gold, das wir den Kobolden abgenommen haben, können wir es uns leisten, das Rathaus zu verbessern.","Con el oro que le quitamos a los duendes, podemos permitirnos mejorar el ayuntamiento.","Con l´oro che abbiamo preso ai Goblin, possiamo migliorare il municipio.","Met het goud dat we van de gobelins hebben gewonnen, kunnen we het stadhuis upgraden.","Med gullet vi tok fra nissene, har vi råd til å oppgradere rådhuset.","Com o ouro que pegamos dos goblins, podemos atualizar o Centro da Vila.","Goblinlerden aldığımız altında şimdi Köy Binamızı yükseltebiliriz.","ゴブリンから奪ったゴールドがあれば、\nタウンホールをアップグレード\nできるはずです！","有了从哥布林那里抢来的黄金，我们就可以升级大本营了。"
"TID_TUTORIAL_TOWN_HALL_2","Good job! We can now build new buildings thanks to the Town Hall upgrade.","Beau travail ! Grâce à l'amélioration de l'Hôtel de ville, nous pouvons désormais construire de nouveaux bâtiments.","Gute Arbeit! Dank der Rathaus-Verbesserung können wir jetzt neue Gebäude bauen.","¡Buen trabajo! Ahora podemos construir nuevos edificios gracias a la mejora del ayuntamiento.","Ottimo lavoro! Ora puoi costruire nuovi edifici grazie al Municipio migliorato.","Goed gedaan! Dankzij de upgrade van het stadhuis kunnen we nu nieuwe gebouwen neerzetten.","Godt jobba! Nå kan vi bygge nye bygninger, takket være oppgraderingen av rådhuset.","Bom trabalho! Agora podemos construir novos edifícios graças à atualização do Centro da Vila.","İyi işti! Belediye Binasını yükseltmen sayesinde şimdi yeni binalar inşa edebilirsin.","できましたね！　タウンホールを\nアップグレードしたことで、新しい\n建物を建設できるようになりました。","干得好！大本营升级后，我们可以修建新的建筑了。"
"TID_TUTORIAL_ACHIEVEMENTS","If you're looking for new challenges to beat, just ask me by tapping here.","Si vous cherchez à relever de nouveaux défis, touchez ici pour me demander.","Falls du nach neuen Herausforderungen suchst, frag mich einfach, indem du hierhin tippst.","Si buscas nuevos desafíos para batir, pulsa aquí.","Se cerchi nuove sfide, tocca qui e ti accontenterò.","Zoek je een nieuwe uitdaging? Vraag het mij door hier te tikken.","Hvis du leter etter nye utfordringer å overvinne, bare spør meg ved å trykke her.","Se você está procurando novos desafios para vencer, basta me pedir tocando aqui.","Eğer kapışmak için yeni müsabakalar arıyorsan, buraya dokunarak bana sor.","挑戦できる目標を確認したい時は、\nここをタップして私に聞いてくださいね。","如果您想挑战更多高难度的成就，请在此点击我。"
"TID_TUTORIAL_ACHIEVEMENTS2","Chief, you obviously know what you're doing. The whole village is counting on you!","Chef ! On dirait que vous savez ce que vous faites. Tout le village compte sur vous !","Boss, du weißt offenbar, was du tust. Das ganze Dorf zählt auf dich!","¡Jefe, obviamente sabes lo que haces. La aldea entera cuenta contigo!","Capo, ovviamente sai quello che stai facendo. Tutto il villaggio conta su di te!","Chief, je weet wat je te doen staat. Het hele dorp rekent op je!","Høvding, du vet opplagt hva du gjør. Hele landsbyen stoler på deg!","Chefe, você obviamente sabe o que está fazendo. A vila inteira está contando com você!","Şef, kesinlikle ne yaptığını biliyorsun. Tüm köy sana güveniyor!","チーフ、あとはおまかせしちゃっても\n大丈夫そうですね。\n村のみんなが頼りにしていますので！","首领，您明显是胸有成竹哇。整个村子就靠您了！"
"TID_GOBLIN_SPEAKS_1","Gwaaarh! I'm not through with you yet.","Arrrgh ! J'en ai pas encore fini avec vous.","Grarrrrr! Ich bin noch nicht mit euch fertig.","¡Aaaaarg! Aún no he acabado contigo.","Gwaaarh! Non ho ancora finito con te!","Gwaaarh! Ik ben nog niet klaar met jou.","Grrr aha! Jeg er ikke ferdig med deg ennå.","Gwaaarh! Eu não terminei com você ainda.","Harharr! Seninle işim bitmedi.","ぎひゃひゃひゃ！\nまだオワリじゃないからな！","咕噜咕噜！我跟你没完！"
"TID_GOBLIN_SPEAKS_2","You may have beaten me once, but this goblin camp is a lot tougher.","Vous m'avez peut-être déjà battu, mais ce nouveau camp gobelin est bien plus résistant !","Ihr habt mich vielleicht einmal besiegt, aber dieses Koboldlager ist viel stärker.","Me has derrotado una vez, pero este campamento es mucho más duro.","Puoi avermi battuto una volta, ma questo accampamento di Goblin è ben più tosto!","Je mag me dan een keer verslagen hebben, maar dit gobelinkamp is heel wat lastiger.","Du klarte å slå meg én gang, men denne nisseleiren er mye sterkere.","Você pode ter me derrotado uma vez, mas este acampamento goblin é muito mais difícil.","Beni bir kez yenmiş olabilirsin, ama bu goblin kampı çok daha güçlü.","いちどはマけたけど、このゴブリンのムラは\nもっともっとてごわいぞ。","你这次不过是运气好罢了，但是接下来的哥布林部落你不一定攻得下哦。"
"TID_TUTORIAL_GOLDSTORAGE","You also need a place to store all your precious gold!","Il nous faut également un endroit où stocker notre or si précieux !","Du brauchst auch einen Ort, wo du dein kostbares Gold lagern kannst!","Además, ¡necesitas un lugar para almacenar el oro!","Ti serve anche un posto dove l´oro!","Je hebt een plek nodig om al dat waardevolle goud op te bergen!","Du trenger også et sted å lagre alt det verdifulle gullet!","Você também precisa de um lugar para armazenar todo seu precioso ouro!","Değerleri altınlarını saklayacak bir yere de ihtiyacın var!","大切なゴールドを保管できる場所も必要です！","您需要建设一个储金罐来存储珍贵的黄金！"
"TID_TUTORIAL_ELIXIRSTORAGE","That elixir needs a place to store it as well.","Cet élixir a aussi besoin d'être stocké quelque part.","Und das Elixier braucht auch ein Lager.","También necesitas un lugar para almacenar el elixir.","Anche l'elisir deve essere conservato da qualche parte.","Die elixir moet ook ergens worden opgeslagen.","Denne eliksiren må også lagres et sted.","Esse elixir precisa de um lugar para ser armazenado também.","İksirin de bir yerde depolanması gerekiyor.","エリクサーも貯めておける場所がほしいですね。","我们还需要一个地方来存储圣水。"
"TID_LOCKED_IN_TUTORIAL","Complete the tutorial to unlock this feature!","Terminez le didacticiel pour débloquer cette fonction !","Schließe das Tutorial ab, um diese Funktion freizuschalten!","¡Completa el tutorial para desbloquear esta característica!","Completa il tutorial per sbloccare questa caratteristica!","Voltooi de tutorial om deze functie te ontgrendelen!","Fullfør opplæringen for å åpne denne funksjonen!","Complete o tutorial para desbloquear esta função!","Bu özelliği açmak için öğreticiyi tamamla!","チュートリアルを完了すれば\n使えるようになります！","要解锁这个游戏内容您必须完成游戏教学部分！"
"TID_TUTORIAL_ATTACK_NPC_1","The Wizards from Ivory Tower are here to help us! Let's take out the goblin camp!","Les sorciers de la tour d'ivoire sont là pour nous aider ! Détruisons le camp gobelin !","Die Magier vom Elfenbeinturm sind hier, um uns zu helfen! Nehmen wir das Koboldlager auseinander!","¡Los magos de la torre de marfil han venido a ayudarnos! ¡Eliminemos el campamento de los duendes!","Gli Stregoni della Torre d´avorio sono venuti in nostro aiuto! Distruggiamo l´accampamento dei Goblin!","De tovenaars van de ivoren toren zijn hier om ons te helpen! Schakel het gobelinkamp uit!","Sjamanen fra elfenbenstårnet er her for å hjelpe oss! La oss utslette nisseleiren!","Os Magos da Torre de Marfim estão aqui para nos ajudar! Vamos acabar com o acampamento goblin!","Fildişi Kuledeki Sihirbazlar bize yardıma geldiler! Haydi, goblin kampını yok edelim!","象牙の塔のウィザードたちが\n助けに来てくれました！\nゴブリンの村を破壊しましょう！","来自象牙塔的法师们来帮助我们啦！让我们一举歼灭哥布林部落！"
"TID_TUTORIAL_ATTACK_NPC_2","Well done. Now let's kick some green butt!","Bien joué. Allons botter leurs fesses vertes !","Gut gemacht. Jetzt lass uns ein paar grüne Hintern versohlen!","Bien hecho. ¡Pateemos sus verdes traseros!","Ben fatto. Andiamo a prendere a calci qualche sedere verde!","Goed gedaan. Tijd voor een stevig potje groen geweld!","Godt gjort. Kom igjen og gi grønningene stryk!","Bem feito. Agora vamos detonar uns verdinhos!","İyi iş. Haydi şimdi yeşil popolara tekmeyi basalım!","できましたね。ゴブリンどもに\n思い知らせてやりましょう！","干得好！现在就让我们给那些绿矮子点颜色看看！"
"TID_TUTORIAL_ATTACK_NPC_BUTTON","Attack!","Attaquer !","Angriff!","¡Atacar!","Attacco!","Aanvallen!","Angrip!","Ataque!","Saldır!","攻撃","进攻！"
"TID_NPC_NAME_TUTORIAL","Payback","Revanche","Vergeltung","Venganza","Rappresaglia","Wraak","Betal tilbake","Hora do Troco","Ödeşme","逆襲","恶有恶报"
"TID_NPC_NAME_TUTORIAL2","Goblin Forest","Forêt des gobelins","Koboldwald","Bosque duende","Foresta dei Goblin","Gobelinbos","Nisseskog","Floresta Goblin","Goblin Ormanı","ゴブリンの森","哥布林森林"
"TID_JOINALLIANCEQUESTION","Accept Clan invitation?","Accepter l'invitation de clan ?","Claneinladung annehmen?","¿Aceptar invitación del clan?","Accettare l´invito nel clan?","Clanuitnodiging accepteren?","Godta klaninvitasjon?","Aceitar o convite do clã?","Klan daveti kabul edilsin mi?","クランへの招待を承認しますか？","接受部落邀请？"
"TID_POPUP_SHIELD_REMOVAL_TITLE","Shield is active","Le bouclier est actif","Schild ist aktiv","Escudo activo","Lo scudo è attivo","Schild is geactiveerd","Skjoldet er aktivt","Escudo ativo","Kalkan etkin","シールドが有効です","护盾处于活跃状态"
"TID_POPUP_SHIELD_REMOVAL","Attacking will disable your shield, and other players will be able to attack you. Are you sure?","Attaquer annulera votre bouclier, vous rendant vulnérable aux attaques ennemies. Voulez-vous vraiment attaquer?","Wenn du angreifst, wird dein Schild deaktiviert und andere Spieler können dich angreifen. Bist du sicher?","Al atacar, desactivarás el escudo y otros jugadores podrán atacarte. ¿Estás seguro?","Attaccando disattiverai il tuo scudo e gli altri giocatori potranno attaccarti. Confermi?","Als je aanvalt wordt het schild uitgeschakeld en kunnen andere spelers je aanvallen. Weet je het zeker?","Ved å angripe deaktiveres skjoldet ditt, og andre spillere kan angripe deg. Er du sikker?","Atacar irá desativar o seu escudo, e outros jogadores poderão atacá-lo. Tem certeza?","Saldırınca kalkanın devreden çıkar ve diğer oyuncular sana saldırabilir. Emin misin?","こちらから攻撃をしかけるとシールドが\n解除され、他のプレイヤーが攻撃を\nしかけてこられるようになります。\n攻撃しますか？","发动攻击将失去护盾，这样其他玩家将有可能攻击您。确定要进攻吗？"
"TID_UPDATE_TROOP_LEVEL","Upgrade to level <number>","Améliorer au niveau <number>","Verbessern auf Level <number>","Mejorar al nivel <number>.","Porta al livello <number>?","Upgraden naar level <number>","Oppgrader til nivå <number>","Atualização ao nível <number>","<number>. seviyeye yükselt","レベル <number> にアップグレード","升级至<number>级"
"TID_LEVEL_UP","Level Up!","Niveau gagné !","Levelaufstieg!","¡Sube nivel!","Aumenta di livello!","Hoger level!","Nivå opp!","Nível Aumentado!","Yeni Seviye!","レベルアップ！","升级成功！"
"TID_NEW_ITEMS_UNLOCKED","New Items Unlocked","Nouveaux objets débloqués","Neue Gegenstände freigeschaltet","Nuevos objetos desbloqueados","Sbloccati nuovi elementi","Nieuwe voorwerpen ontgrendeld","Nye elementer åpnet","Novos itens Desbloqueados","Yeni Öğelerin Kilidi Açıldı","新しいアイテムがアンロックされました","已解锁"
"TID_REQUESTTROOPS","Request Warriors","Demander des soldats","Krieger anfordern","Pedir guerreros","Richiedi guerrieri","Verzoek krijgers","Be om krigere","Solicitar Tropas","Savaşçı İste","援軍をたのむ","请求增援"
"TID_MISSION_SCREEN_TITLE","Missions","Missions","Missionen","Misiones","Missioni","Missies","Oppdrag","Missões","Görevler","ミッション","任务"
"TID_MISSION_REWARD","Reward:","Récompense :","Belohnung:","Recompensa:","Ricompensa:","Beloning:","Belønning:","Recompensa:","Ödül:","報酬：","奖励："
"TID_MISSION_COMPLETE_TITLE","Mission Completed!","Mission terminée !","Mission abgeschlossen!","¡Misión completada!","Missione completata!","Missie voltooid!","Oppdrag fullført!","Missão Cumprida!","Görev Tamamlandı!","ミッション完了！","任务完成！"
"TID_ATTACK_LOCKED","Upgrade Town Hall to level 2 to unlock this feature!","Améliorer l'hôtel de ville au niveau 2 pour débloquer cette fonction !","Verbessere das Rathaus auf Level 2, um diese Funktion freizuschalten!","¡Mejora el ayuntamiento al nivel 2 para desbloquearlo!","Porta il municipio al livello 2 per sbloccare questa caratteristica!","Upgrade het stadhuis naar level 2 om deze functie te ontgrendelen!","Oppgrader rådhuset til nivå 2 for å åpne denne funksjonen!","Atualize o Centro da Vila ao nível 2 para desbloquear esse recurso!","Bu özelliği açmak için Köy Binasını 2. seviyeye yükselt!","タウンホールをレベル <number> に要アップグレード！","升级大本营到2级，以解锁该游戏内容！"
"TID_RANKTITLE","Rank","Rang","Rang","Rango","Posizione","Score","Grad","Posição","Derece","ランク","等级"
"TID_BUTTON_REPAIR","Rebuild","Réparer","Neu bauen","Reconstruir","Ricostruisci","Repareren","Bygg på nytt","Reconstruir","Tekrar Kur","修理","重建"
"TID_DIAMOND_PACK_1","Pile of Gems","Tas de gemmes","Juwelenhaufen","Pila de gemas","Pila di gemme","Stapel edelstenen","Haug med smykker","Pilha de Gemas","Taş Yığını","ひとにぎりのエメラルド","一小堆宝石"
"TID_DIAMOND_PACK_2","Bag of Gems","Sac de gemmes","Juwelenbeutel","Bolsa de gemas","Borsa di gemme","Zak edelstenen","Pose med smykker","Bolsa de Gemas","Taş Torbası","エメラルドの小袋","一小袋宝石"
"TID_DIAMOND_PACK_3","Sack of Gems","Gros sac de gemmes","Juwelensack","Saco de gemas","Sacco di gemme","Buidel edelstenen","Sekk med smykker","Saco de Gemas","Taş Çuvalı","エメラルドの大袋","一麻袋宝石"
"TID_DIAMOND_PACK_4","Box of Gems","Caisse de gemmes","Juwelenkiste","Caja de gemas","Scatola di gemme","Doos edelstenen","Eske med smykker","Caixa de Gemas","Taş Kutusu","エメラルドの箱","一小箱宝石"
"TID_DIAMOND_PACK_5","Chest of Gems","Coffre de gemmes","Juwelentruhe","Cofre de gemas","Cassa di gemme","Bak edelstenen","Kiste med smykker","Baú de Gemas","Taş Sandığı","エメラルドの宝箱","一大箱宝石"
"TID_DIAMOND_PACK_6","Trunk of Gems","Malle de gemmes","Juwelenkoffer","Baúl de gemas","Baule di gemme","Kist edelstenen","Bøle med smykker","Cofre de Gemas","Taş Kamyonu","エメラルドの大箱","一大堆宝石"
"TID_TRAIN_TUTORIAL_ARROW","Hold down","Rester appuyé","Gedrückt halten","Mantener","Tieni premuto","Ingedrukt houden:","Hold ned","Manter pressionado","Basılı tut","長押し","按住不放"
"TID_DIAMOND_SHOP_PACK","<number> Gems","<number> gemmes","<number> Juwelen","<number> gemas","<number> gemme","<number> edelstenen","<number> smykker","Gemas <number>","<number> Mücevher","エメラルド <number>","<number>颗宝石"
"TID_GOLD_SHOP_PACK","<number> Gold","<number> d'or","<number> Goldstücke","<number> oro","<number> oro","<number> goud","<number> gull","Ouro <number>","<number> Altın","ゴールド <number>","<number>两黄金"
"TID_ELIXIR_SHOP_PACK","<number> Elixir","<number> élixirs","<number> Elixier","<number> elixir","<number> elisir","<number> elixir","<number> eliksir","Elixir <number>","<number> İksir","エリクサー <number>","<number>滴圣水"
"TID_RESOURCE_PACK_GOLD_FULL","Fill Gold Storages","Remplir les réserves d'or","Goldlager füllen","Llena almacenes de oro.","Riempie i depositi d´oro","Vul goudkluizen","Fyll gullagrene","Encha depósito de Ouro","Altın Deposunu Doldur","ゴールドを一杯にする","装满储金罐"
"TID_RESOURCE_PACK_ELIXIR_FULL","Fill Elixir Storages","Remplir les réserves d'élixir","Elixierlager füllen","Llena almacenes de elixir.","Riempie i depositi di elisir","Vul elixirtanks","Fyll eliksirlagrene","Encha depósito de Elixir","İksir Deposunu Doldur","エリクサーを一杯にする","装满圣水瓶"
"TID_RESOURCE_PACK_GOLD_10","Fill Storages by 10%","Remplir les réserves de 10%","Lager um 10 % füllen","Llena almacenes un 10 %.","Riempie i depositi del 10%","Vul kluis met 10%","Fyll lagrene 10 %","Encha depósito em 10%","Depoları %10 Doldur","10%増やす","装满储金罐的10%"
"TID_RESOURCE_PACK_ELIXIR_10","Fill Storages by 10%","Remplir les réserves de 10%","Lager um 10 % füllen","Llena almacenes un 10 %.","Riempie i depositi del 10%","Vul tank met 10%","Fyll lagrene 10 %","Encha depósito em 10%","Depoları %10 Doldur","10%増やす","装满圣水瓶的10%"
"TID_RESOURCE_PACK_GOLD_50","Fill Storages by Half","Remplir les réserves de moitié","Lager um die Hälfte füllen","Llena almacenes a la mitad.","Riempie i depositi per metà","Vul kluis met 50%","Fyll lagrene halvveis","Encha depósito pela metade","Depoları Yarım Doldur","50%増やす","装满储金罐的一半"
"TID_RESOURCE_PACK_ELIXIR_50","Fill Storages by Half","Remplir les réserves de moitié","Lager um die Hälfte füllen","Llena almacenes a la mitad.","Riempie i depositi per metà","Vul tank met 50%","Fyll lagrene halvveis","Encha depósito pela metade","Depoları Yarım Doldur","50%増やす","装满圣水瓶的一半"
"TID_CONTAINER_MAX","Max:","Maximum :","Max.:","Máx.:","Massimo:","Max:","Maks.:","Máx:","Maks:","MAX：","最大储量："
"TID_SHOP_AVAILABLE","Built:","Construit :","Gebaut:","Construidos:","Progresso:","Gebouwd:","Bygget:","Construído:","İnşa et:","建設数","已建："
"TID_BATTLE_LOG_COL_1","Opponent:","Adversaire :","Gegner:","Oponente:","Avversario:","Tegenstander:","Motstander:","Oponente:","Rakip:","対戦相手","对手："
"TID_BATTLE_LOG_COL_2","Resources lost:","Ressources perdues :","Ressourcen verloren:","Recursos perdidos:","Risorse perse:","Grondstoffen verloren:","Tapte ressurser:","Recursos perdidos:","Kaybedilen kaynaklar:","奪われた資源：","您失去了资源："
"TID_BATTLE_LOG_COL_3","Outcome:","Résultat :","Resultat:","Resultado:","Risultato:","Resultaat:","Resultat:","Resultado:","Sonuç:","結果","结果："
"TID_PVP_BUTTON","Find a Match","Chercher une partie","Kampf finden","Buscar partida","Trova una partita","Zoek een match","Finn en match","Procurar uma batalha","Eşleşme Bul","対戦相手を探す","搜索对手"
"TID_NPC_ATTACK_BUTTON","Attack","Attaquer","Angreifen","Atacar","Attacca","Aanvallen","Angrip","Atacar","Saldır","攻撃","进攻"
"TID_NPC1","Goblin Outpost","Avant-poste gobelin","Kobold-Außenposten","Avanzada duende","Avamposto Goblin","Gobelinvoorpost","Nisseutpost","Posto Avançado Goblin","Goblin Karakolu","ゴブリンの前線基地","哥布林前哨基地"
"TID_NPC2","Rocky Fort","Fort en pierre","Felsfestung","Fuerte rocoso","Forte roccioso","Rotsfort","Steinfort","Forte Rocky","Kayalık Hisar","岩場の要塞","石头堡垒"
"TID_NPC3","Goblin Gauntlet","Gant de gobelin","Kobold-Handschuh","Guantelete duende","Tortura Goblin","Gobelinknuppel","Nissehanske","Luva Goblin","Goblin Eldiveni","ゴブリンの砲台","交叉掩护"
"TID_NPC4","Cannonball Run","Course aux boulets de canon","Kanonenkugellauf","La bola de cañón","Fuga dal cannone","Kanonsregen","Kanonrace","Corrida da Bala de Canhão","Toplu Hücumu","キャノンボールラン","炮弹飞车"
"TID_NPC5","Two Smoking Barrels","Deux barils fumants","Zwei rauchende Fässer","Armas disparadas","Canne fumanti","Twee rokende lopen","To rykende løp","Dois Canos Fumegantes","İki Dumanlı Namlu","二丁拳銃","两杆大烟枪"
"TID_NPC6","Gold Rush","Ruée vers l'or","Goldrausch","Fiebre del oro","Corsa all´oro","Goudkoorts","Gullfeber","Corrida do Ouro","Altına Hücum","ゴールドラッシュ","淘金热"
"TID_NPC7","Maginot Line","La ligne Maginot","Maginot-Linie","Línea Maginot","Linea Maginot","Op de korrel","Maginotlinjen","Linha Maginot","Majino Hattı","マジノ線","马奇诺防线"
"TID_NPC8","Rat Valley","La vallée des rats","Rattental","Valle de ratas","Valle del ratto","Rattenvallei","Rottedalen","Vale dos Ratos","Fare Vadisi","ネズミ谷","恶鼠谷"
"TID_NPC9","Brute Force","Brute épaisse","Brutale Gewalt","Fuerza bruta","Forza bruta","Brute kracht","Rå kraft","Força Bruta","Kaba Kuvvet","力押し","野蛮哥布林"
"TID_NPC10","Gobbotown","Gobelin-ville","Koboldstadt","Ciudad de Gobbo","Goblinlandia","Gobbostad","Nisseby","Gobbotown","Gobboköy","ゴブリンタウン","哥布林镇"
"TID_NPC11","M is for Mortar","M comme mortier","M steht für Minenwerfer","M de Mortero","M di Mortaio","M voor mortier","M for morter","M de Morteiro","Havanın H'si","迫撃砲大迫力","迫击炮阵地"
"TID_NPC12","Megablaster","Méga dégâts","Megaknaller","Megaláser","Megabomber","Megaknaller","Megablaster","Megablaster","Megablaster","巨砲主義","重型爆炸"
"TID_NPC13","Immovable Object","Objet fixe","Unbewegliches Objekt","Objeto inamovible","Oggetto immobile","Onbeweeglijk voorwerp","Stillestående objekt","Objeto Imóvel","Hareketsiz Nesne","動かざるもの","牢不可破"
"TID_NPC14","Fort Knobs","Fort Knorx","Fort Knobs","Almacén de oro","Pepita","Goudfort","Fort Knott","Forte Knobs","Budak Hisar","フォート・ゴッブス","罗布堡"
"TID_NPC15","Watchtower","Tour de guet","Wachturm","Torre vigía","Torre di guardia","Wachttoren","Vakttårnet","Torre de Vigia","Gözcü Kulesi","監視塔","瞭望台"
