"Name","SWF","ExportName","ParticleEmitter","CameraShake","AttachToParent","Looping","IsoLayer","Targeted","MaxCount","Sound","Volume","MinPitch","MaxPitch","LowEndSound","LowEndVolume","LowEndMinPitch","LowEndMaxPitch","Beam"
"Lightning Spell",,,"LightningSky_halloween",,"true",,"objects","true",10,"sfx/tesla_zap_01.wav",80,100,120,"sfx/tesla_zap_01.wav",50,100,120,
"Super_Bomb",,,"Force",1000,"true",,"objects",,,"sfx/mortar_hit_01.wav",80,60,80,"sfx/mortar_hit_01.wav",80,60,80,
,,,"Explosion_flash",,,,,,,,,,,,,,,
,,,"Explosion_1",,,,,,,,,,,,,,,
,,,"Explosion_2",,,,,,,,,,,,,,,
,,,"Fire_explosion",,,,,,,,,,,,,,,
,,,"Fire_balls",,,,,,,,,,,,,,,
,,,"Stone_explosion",,,,,,,,,,,,,,,
,,,"Explosion_3",,,,,,,,,,,,,,,
,,,"Explosion_4",,,,,,,,,,,,,,,
,,,"explosion_blast",,,,,,,,,,,,,,,
,,,"explosion_blast",,,,,,,,,,,,,,,
,,,"explosion_blast",,,,,,,,,,,,,,,
"Super_Bomb ground",,,"bomb_crater",,,,"ground",,,,,,,,,,,
"Mortar Hit lvl6",,,"bomb_crater_small",100,"true",,"objects",,,"sfx/mortar_hit_01.wav",80,95,105,"sfx/mortar_hit_01.wav",80,95,105,
,,,"Explosion_1_small",,,,,,,,,,,,,,,
,,,"Explosion_flash",,,,,,,,,,,,,,,
,,,"Fire_explosion",,,,,,,,,,,,,,,
,,,"Fire_balls",,,,,,,,,,,,,,,
,,,"Stone_explosion",,,,,,,,,,,,,,,
,,,"MortarHit_lvl6",,,,,,,,,,,,,,,
"Mortar Hit lvl8",,,"bomb_crater_small",100,"true",,"objects",,,"sfx/mortar_hit_01.wav",80,95,105,"sfx/mortar_hit_01.wav",80,95,105,
,,,"Explosion_1_small",,,,,,,,,,,,,,,
,,,"Explosion_flash",,,,,,,,,,,,,,,
,,,"Fire_explosion",,,,,,,,,,,,,,,
,,,"Fire_balls",,,,,,,,,,,,,,,
,,,"Stone_explosion",,,,,,,,,,,,,,,
,,,"MortarHit_lvl6",,,,,,,,,,,,,,,
,,,"MortarHit_lvl8",,,,,,,,,,,,,,,
"Bomb Exposion",,,"Stone",50,,,"objects",,8,"sfx/cannon_fire3.wav",60,90,110,"sfx/mortar_hit_01.wav",70,140,150,
,,,"Grass",,,,"objects",,,,,,,,,,,
,,,"Ring",,,,"objects",,,,,,,,,,,
,,,"Wizard_Tower_lightFlash",,,,,,,,,,,,,,,
,,,"Explosion_3",,,,,,,,,,,,,,,
,,,"Fire_balls",,,,,,,,,,,,,,,
,,,"Smoke",,,,,,,,,,,,,,,
"Bomb Exposion ground",,,"bomb_crater_small",,,,"ground",,,,,,,,,,,
"Heal area",,,"heal_ring",,,,"ground",,,"sfx/bottle_heal_magic_03.wav",60,90,90,"sfx/bottle_heal_magic_03.wav",60,90,90,
,,,"Explosion_3",,,,,,,,,,,,,,,
,,,"Explosion_flash",,,,,,,,,,,,,,,
,,,"heal_ring2",,,,,,,,,,,,,,,
,,,"heal_ring3",,,,,,,,,,,,,,,
,,,"heal_ring4",,,,,,,,,,,,,,,
,,,"Fire_balls",,,,,,,,,,,,,,,
,,,"heal_ring_lightrays",,,,,,,,,,,,,,,
"Heal area top",,,"heal_ring5",,,,"top",,,,,,,,,,,
"Heal spell",,,"heal_ring_effect",,,,"objects",,,"sfx/healer_attack_01.wav",30,80,90,"sfx/healer_attack_01.wav",30,80,90,
,,,"heal_ring_effect2",,,,,,,,,,,,,,,
"Lightning area",,,"Lightning_area_effect1",,,,"objects",,,"sfx/bottle_break_04_lightning_01.wav",80,100,100,"sfx/barb_deploy_11.wav",50,80,90,
,,,"Explosion_3",,,,,,,,,,,,,,,
,,,"Explosion_flash",,,,,,,,,,,,,,,
,,,"Lightning_area_effect2",,,,,,,,,,,,,,,
,,,"Lightning_area_effect3",,,,,,,,,,,,,,,
,,,"Lightning_area_ring",,,,,,,,,,,,,,,
,,,"Lightning_area_effect4",,,,,,,,,,,,,,,
,,,"Lightning_area_effect5",,,,,,,,,,,,,,,
,,,"Lightning_areaTesla_effect1",,,,,,,,,,,,,,,
"Lightning predeploy",,,"lightning_bottleDrop",,,,"objects",,,"sfx/magic_bottle_fall_05.wav",80,95,95,"sfx/elixir_collect_02.wav",50,140,140,
"Heal predeploy",,,"heal_bottleDrop",,,,"objects",,,"sfx/magic_bottle_fall_05.wav",80,95,95,"sfx/elixir_collect_02.wav",50,140,140,
"Rage predeploy",,,"rage_bottleDrop",,,,"objects",,,"sfx/magic_bottle_fall_05.wav",80,95,95,"sfx/elixir_collect_02.wav",50,140,140,
"xmas predeploy",,,"xmas_bottleDrop",,,,"objects",,,"sfx/magic_bottle_fall_05.wav",80,95,95,"sfx/elixir_collect_02.wav",50,140,140,
"Rage deploy",,,"rage_rangeRing3",,,,"ground",,,"sfx/bottle_rage_magic_07v2.wav",90,75,75,"sfx/explosion_02.wav",80,70,80,
,,,"rage_rangeRing1",,,,,,,,,,,,,,,
,,,"rage_glowPurple",,,,,,,,,,,,,,,
,,,"rage_flyingLine1",,,,,,,,,,,,,,,
,,,"rage_rangeRingOutter",,,,,,,,,,,,,,,
"Rage deploy top",,,"rage_smokeRing",,,,"top",,,,,,,,,,,
,,,"rage_flyingLine2",,,,,,,,,,,,,,,
,,,"rage_flyingLine3",,,,,,,,,,,,,,,
,,,"rage_flyingLine4",,,,,,,,,,,,,,,
,,,"rage_flyingLine2",,,,,,,,,,,,,,,
,,,"rage_flyingLine3",,,,,,,,,,,,,,,
,,,"rage_glowParticles",,,,,,,,,,,,,,,
,,,"Explosion_3",,,,,,,,,,,,,,,
,,,"Explosion_flash",,,,,,,,,,,,,,,
,,,"rage_smokeRing4",,,,,,,,,,,,,,,
,,,"rage_smokeRing2",,,,,,,,,,,,,,,
,,,"rage_smokeRing5",,,,,,,,,,,,,,,
,,,"rage_smokeRing3",,,,,,,,,,,,,,,
,,,"rage_glowParticles2",,,,,,,,,,,,,,,
"Cannon Attack",,,"cannon_lightFlash",,"true",,"objects",,6,"sfx/cannon_08.wav",70,100,100,"sfx/cannon_08.wav",80,100,100,
,,,"Cannon_flash",,,,,,,,,,,,,,,
,,,"Cannon_smoke",,,,,,,,,,,,,,,
,,,"Cannon_fireBalls",,,,,,,,,,,,,,,
"Cannon Attack Large",,,"cannon_lightFlash2",,"true",,"objects",,6,"sfx/cannon_08.wav",80,100,100,"sfx/cannon_08.wav",80,100,100,
,,,"Cannon_flash2",,,,,,,,,,,,,,,
,,,"Cannon_smoke2",,,,,,,,,,,,,,,
,,,"Cannon_fireBalls2",,,,,,,,,,,,,,,
"Mortar Attack",,,"Mortar_flash",,"true",,"objects",,,"sfx/mortar_fire_02_with_fall.wav",70,95,105,"sfx/mortar_fire_02_with_fall.wav",70,95,105,
,,,"Mortar_smoke2",,,,,,,,,,,,,,,
,,,"Mortar_smoke",,,,,,,,,,,,,,,
,,,"Mortar_fireBalls",,,,,,,,,,,,,,,
,,,"Mortar_lightFlash",,,,,,,,,,,,,,,
"Explosive Arrow",,,"Explosive_arrow2",,,,"objects",,,"sfx/explosive_arrow_01v2.wav",65,100,100,"sfx/mage_attack_02.wav",50,120,120,
,,,"Arrow_Tower_lightFlash",,,,,,,,,,,,,,,
,,,"Hit",,,,,,,,,,,,,,,
,,,"DefenceHit",,,,,,,,,,,,,,,
,,,"Explosive_arrow",,,,,,,,,,,,,,,
,,,"Arrow_Tower_lightFlash",,,,,,,,,,,,,,,
"Air Defence hit1",,,"AirDefence1_hit1",20,"true",,"top",,,"sfx/air_def_hit_02.wav",65,100,100,"sfx/wizard_hit_01.wav",50,100,100,
,,,"AirDefence1_hit2",,,,,,,,,,,,,,,
,,,"AirDefence1_hit3",,,,,,,,,,,,,,,
"Air Defence hit2",,,"AirDefence2_hit1",20,"true",,"top",,,"sfx/air_def_hit_02.wav",65,100,100,"sfx/wizard_hit_01.wav",50,100,100,
,,,"AirDefence2_hit2",,,,,,,"sfx/air_def_hit_02.wav",,,,,,,,
,,,"AirDefence2_hit3",,,,,,,,,,,,,,,
,,,"AirDefence2_hit4",,,,,,,,,,,,,,,
"Air Defence hit3",,,"AirDefence3_hit1",20,"true",,"top",,,"sfx/air_def_hit_02.wav",65,100,100,"sfx/wizard_hit_01.wav",65,100,100,
,,,"AirDefence3_hit2",,,,,,,,,,,,,,,
,,,"AirDefence3_hit3",,,,,,,,,,,,,,,
,,,"AirDefence3_hit4",,,,,,,,,,,,,,,
"Air Defence Attack",,,"Mortar_smoke",,,,"top",,,"sfx/air_def_attack_02.wav",60,95,105,,,,,
"Rapidfire bow attack",,,"Rapidfire_bow_attack",,,,"top",,8,"sfx/bow_attack.wav",70,110,120,"sfx/arrow_hit_07.wav",60,90,110,
"Bow Pickup",,,"Grass",,"true",,"objects",,,"sfx/bow_pickup.wav",80,110,120,"sfx/cannon_drop2.wav",60,100,100,
"Bow Placing",,,"Place",,"true",,"objects",,,"sfx/bow_place.wav",80,110,120,"sfx/cannon_drop2.wav",60,100,100,
,,,"Grass",,,,,,,,,,,,,,,
"Bow Load",,,"Smoke",,,,"top",,,"sfx/bow_load.wav",70,110,120,"sfx/arrow_hit_07.wav",70,150,150,
"Bow Target",,,"Place",,,,"top",,,"sfx/bow_target.wav",70,110,120,"sfx/moving_07.wav",60,80,90,
"Jump predeploy",,,"jump_bottleDrop",,,,"objects",,,"sfx/magic_bottle_fall_05.wav",80,95,95,"sfx/elixir_collect_02.wav",40,140,140,
"Jump deploy lvl1",,,"jump_deploy_range_lvl1",,,,"ground",,,"sfx/bottle_jump_spell_01.wav",95,97,97,"sfx/trap_eject_01v2.wav",50,100,100,
,,,"jump_ring_anim_lvl1",,,,,,,,,,,,,,,
"Jump deploy top lvl1",,,"jump_deploy_range_anim_lvl1",,,,"top",,,,,,,,,,,
,,,"jump_glowGreen_lvl1",,,,,,,,,,,,,,,
,,,"Fire_balls",,,,,,,,,,,,,,,
,,,"jump_balls_lvl1",,,,,,,,,,,,,,,
,,,"jump_balls2_lvl1",,,,,,,,,,,,,,,
,,,"jump_balls3_lvl1",,,,,,,,,,,,,,,
,,,"jump_balls4_lvl1",,,,,,,,,,,,,,,
,,,"jump_balls5_lvl1",,,,,,,,,,,,,,,
,,,"jump_balls6_lvl1",,,,,,,,,,,,,,,
,,,"Explosion_3",,,,,,,,,,,,,,,
,,,"Explosion_flash",,,,,,,,,,,,,,,
,,,"jump_ring_lightrays_lvl1",,,,,,,,,,,,,,,
"Jump deploy lvl2",,,"jump_deploy_range_lvl2",,,,"ground",,,"sfx/bottle_jump_spell_01.wav",95,97,97,"sfx/trap_eject_01v2.wav",50,100,100,
,,,"jump_ring_anim_lvl2",,,,,,,,,,,,,,,
"Jump deploy top lvl2",,,"jump_deploy_range_anim_lvl2",,,,"top",,,,,,,,,,,
,,,"jump_glowGreen_lvl2",,,,,,,,,,,,,,,
,,,"Fire_balls",,,,,,,,,,,,,,,
,,,"jump_balls_lvl2",,,,,,,,,,,,,,,
,,,"jump_balls2_lvl2",,,,,,,,,,,,,,,
,,,"jump_balls3_lvl2",,,,,,,,,,,,,,,
,,,"jump_balls4_lvl2",,,,,,,,,,,,,,,
,,,"jump_balls5_lvl2",,,,,,,,,,,,,,,
,,,"jump_balls6_lvl2",,,,,,,,,,,,,,,
,,,"Explosion_3",,,,,,,,,,,,,,,
,,,"Explosion_flash",,,,,,,,,,,,,,,
,,,"jump_ring_lightrays_lvl2",,,,,,,,,,,,,,,
"Bow No Ammo",,,"Dust2",,,,"top",,,"sfx/bow_out_of_ammo.wav",80,110,110,"sfx/bad_move_06.wav",70,90,90,
"Boost Start",,,"boosterStart",,,,"top",,,"sfx/gem_boost_01.wav",80,100,100,"sfx/xp_gain_06.wav",80,100,100,
,,,"boosterClock",,,,,,,,,,,,,,,
,,,"boosterClock2",,,,,,,,,,,,,,,
"xmas Drop Bombs",,,"xmas_bomb_shadow",,,,"objects",,5,"sfx/xmastree.wav",70,170,180,"sfx/wall_pickup_01.wav",80,80,90,
,,,"bomb_lightFlash",,,,,,,,,,,,,,,
,,,"xmas_dropBomb",,,,,,,,,,,,,,,
,,,"xmas_Fire_balls",,,,,,,,,,,,,,,
,,,"xmas_gift_poof",,,,,,,,,,,,,,,
"xmas Red Smoke",,,"xmas_redSmoke_shadow",,,,"top",,,"sfx/mage_deploy_06.wav",90,60,60,"sfx/arrow_hit_07.wav",60,100,100,
,,,"xmas_redSmoke_shadow_small",,,,,,,,,,,,,,,
,,,"xmas_redSmoke",,,,,,,,,,,,,,,
,,,"xmas_spell_shadow",,,,,,,,,,,,,,,
,,,"xmas_anim",,,,,,,,,,,,,,,
,,,"Explosion_3",,,,,,,,,,,,,,,
,,,"Explosion_flash",,,,,,,,,,,,,,,
,,,"Lightning_area_ring",,,,,,,,,,,,,,,
"xmas boom",,,"bomb_crater_small",50,,,"objects",,8,"sfx/cannon_fire3.wav",80,80,100,"sfx/mortar_hit_01.wav",60,80,90,
,,,"Explosion_1_small",,,,,,,,,,,,,,,
,,,"Explosion_flash",,,,,,,,,,,,,,,
,,,"Fire_explosion",,,,,,,,,,,,,,,
,,,"Fire_balls",,,,,,,,,,,,,,,
,,,"xmas_fun1",,,,,,,,,,,,,,,
,,,"xmas_fun2",,,,,,,,,,,,,,,
,,,"xmas_fun3",,,,,,,,,,,,,,,
,,,"xmas_fun4",,,,,,,,,,,,,,,
,,,"Stone_explosion",,,,,,,,,,,,,,,
,,,"MortarHit_lvl6",,,,,,,,,,,,,,,
"xmas test",,,,,,,"top",,,"sfx/santa.wav",80,75,75,,,,,
"Xmas Tree Pickup",,,"Grass",,,,"top",,,"sfx/xmastree.wav",80,100,100,"sfx/wall_pickup_01.wav",80,100,100,
"ArcherQueen attack",,,"ArcherQueen_attack",,,,"top",,,"sfx/archer_queen_attack_02.wav",80,95,105,"sfx/arrow_hit_07.wav",60,70,80,
,,,,,,,,,,"sfx/archer_queen_attack_01.wav",80,95,105,,,,,
,,,,,,,,,,"sfx/archer_queen_attack_01.wav",80,95,105,,,,,
"Collect Dark Elixir",,,"Collect Dark Elixir",,,,"top",,,"sfx/dark_elixir_collect.wav",90,100,100,"sfx/elixir_collect_02.wav",70,80,90,
"Steal Dark Elixir",,,"Steal Dark Elixir",,,,"top",,,"sfx/dark_elixir_steal.wav",80,100,100,"sfx/elixir_steal_03.wav",60,80,90,
"Dark Elixir Drill Pickup",,,"Grass",,,,,,,"sfx/dark_drill_pickup_02.wav",70,100,100,"sfx/wall_pickup_01.wav",70,60,70,
"Dark Elixir Drill Place",,,"Grass",,,,,,,"sfx/dark_drill_place_07.wav",70,100,100,"sfx/cannon_drop2.wav",70,90,90,
"Hero Altar Place",,,"Grass",,,,"top",,,"sfx/hero_altar_place.wav",80,100,100,"sfx/cannon_drop2.wav",70,90,90,
"Hero Altar Pickup",,,"Grass",,,,"top",,,"sfx/hero_altar_pickup_02.wav",80,100,100,"sfx/wall_pickup_01.wav",70,80,80,
"Dark Elixir Storage Pickup",,,"Grass",,,,,,,"sfx/dark_storage_pickup.wav",80,100,100,"sfx/wall_pickup_01.wav",70,80,80,
"Dark Elixir Storage Place",,,"Grass",,,,,,,"sfx/dark_storage_place.wav",80,100,100,"sfx/cannon_drop2.wav",70,90,90,
"Start Hero Upgrade",,,,,,,,,,"sfx/hero_upgrade_02.wav",80,64,64,"sfx/building_finished_01.wav",70,100,100,
"Hero Upgrade Finished",,,"Building Ready",,,,"objects",,,"sfx/building_finished_01.wav",80,100,100,"sfx/building_finished_01.wav",70,100,100,
"Hero Health Full",,,"hero_heal_lightrays",,,,"top",,,"sfx/hero_energized.wav",80,100,100,"sfx/building_finished_01.wav",70,100,100,
,,,"hero_heal_rings",,,,,,,,,,,,,,,
,,,"Mortar_lightFlash",,,,,,,,,,,,,,,
,,,"heal_ring_effect",,,,,,,,,,,,,,,
,,,"heal_ring_effect2",,,,,,,,,,,,,,,
"Barbarian King Deploy",,,"Deploy",20,,,"objects",,,"sfx/barbarian_king_deploy.wav",90,100,100,"sfx/gob_attack_01.wav",80,60,70,
,,,"Grass",,,,"objects",,,"sfx/barbarian_king_deploy.wav",90,100,100,,,,,
,,,"Place",,,,,,,"sfx/barbarian_king_deploy.wav",90,90,100,,,,,
"Archer Queen Deploy",,,"Deploy",10,,,"objects",,,"sfx/archer_queen_deploy_01.wav",90,100,100,"sfx/gob_attack_01.wav",80,60,70,
,,,"Grass",,,,"objects",,,"sfx/archer_queen_deploy_01.wav",90,100,100,,,,,
,,,"Place",,,,"objects",,,"sfx/archer_queen_deploy_01.wav",90,100,100,,,,,
"Barbarian King Attack",,,"Hit",,"true",,"objects",,,"sfx/barbarian_king_attack_01.wav",60,95,105,"sfx/barbarian_sword_swing_hit_14.wav",60,60,75,
,,,,,,,,,,"sfx/barbarian_king_attack_01.wav",60,75,95,,,,,
,,,,,,,,,,"sfx/barbarian_king_attack_01.wav",60,110,130,,,,,
"Barbarian King Die",,,"Mortar_lightFlash",500,,,"top",,,"sfx/barbarian_king_die_01.wav",90,100,100,"sfx/barbarian_death_01.wav",60,70,80,
,,,"Ring",,,,,,,,,,,,,,,
,,,"Place",,,,,,,,,,,,,,,
,,,"MortarHit_lvl6",,,,,,,,,,,,,,,
,,,"hero_die_force",,,,,,,,,,,,,,,
,,,"Force",,,,,,,,,,,,,,,
,,,"Grass",,,,,,,,,,,,,,,
,,,"Smoke",,,,,,,,,,,,,,,
"Archer Queen Die",,,"Mortar_lightFlash",180,,,"top",,,"sfx/archer_queen_die_01.wav",80,100,100,"sfx/archer_death_05.wav",40,85,85,
,,,"Ring",,,,,,,,,,,,,,,
,,,"Place",,,,,,,,,,,,,,,
,,,"MortarHit_lvl6",,,,,,,,,,,,,,,
,,,"hero_die_force",,,,,,,,,,,,,,,
,,,"Grass",,,,,,,,,,,,,,,
,,,"Grass",,,,,,,,,,,,,,,
"Barbarian King Hit",,,"Arrow_Tower_lightFlash",,"true",,"objects",,,"sfx/barbarian_hit_stuff4.wav",70,55,65,"sfx/barbarian_hit_stuff.wav",50,55,65,
,,,"hero_hit2",,,,,,,,,,,,,,,
,,,"hero_hit3",,,,,,,,,,,,,,,
,,,"hero_hit4",,,,,,,,,,,,,,,
,,,"Deploy",,,,,,,,,,,,,,,
,,,"hero_hit1",,,,,,,,,,,,,,,
,,,"hero_hit5",,,,,,,,,,,,,,,
"Archer Queen Hit",,,"hero_arrow_trail1",,,,"objects",,,"sfx/explosive_arrow_01v2.wav",65,100,100,"sfx/mage_attack_02.wav",50,120,120,
,,,"hero_hit2",,,,,,,,,,,,,,,
,,,"hero_hit3",,,,,,,,,,,,,,,
,,,"hero_hit4",,,,,,,,,,,,,,,
,,,"Arrow_Tower_lightFlash",,,,,,,,,,,,,,,
,,,"xmas_fun2",,,,,,,,,,,,,,,
"Barbarian King Scream",,,,,,,,,,"sfx/barbarian_king_scream_01.wav",80,100,100,"sfx/barbarian_sword_swing_hit_14.wav",50,70,75,
"Hero Spot Enemy",,,"hero_spot_enemy",,"true",,"objects",,,"sfx/hero_spot_01.wav",90,75,75,"sfx/gob_attack_01.wav",70,100,100,
"Hero Sleep",,,,,,,,,,"sfx/hero_sleep.wav",90,75,75,"sfx/healer_attack_01.wav",60,70,70,
"Hero Patrol",,,,,,,,,,"sfx/hero_patrol.wav",100,90,90,"sfx/barb_deploy_11.wav",70,65,65,
"Wall Level 10 Destroyed",,,"Fire_balls",,,,"objects",,6,"sfx/building_destroyed_01.wav",80,85,95,"sfx/building_destroyed_01.wav",80,85,95,
,,,"Stone",,,,,,,,,,,,,,,
,,,"Grass",,,,,,,,,,,,,,,
,,,"hero_hit3",,,,,,,,,,,,,,,
,,,"Wizard_Tower_lightFlash",,,,,,,,,,,,,,,
,,,"Smoke",,,,,,,,,,,,,,,
,,,"Mortar_fireBalls",,,,,,,,,,,,,,,
,,,"Fire_balls",,,,,,,,,,,,,,,
,,,"Fire_balls",,,,,,,,,,,,,,,
,,,"Explosive_arrow",,,,,,,,,,,,,,,
"Archer Queen Scream",,,,,,,,,,"sfx/archer_queen_scream_01.wav",90,100,100,"sfx/gob_attack_01.wav",40,60,60,
"Small AirTrap",,,"small_airTrap_grass",,,,"top",,,"sfx/air_trap.wav",90,100,100,"sfx/trap_eject_01v2.wav",80,100,100,
,,,"small_airTrap_smoke",,,,"objects",,,,,,,,,,,
"Small AirTrap Explosion",,,"small_airTrap_smoke2",50,"true",,"top",,,"sfx/cannon_fire3.wav",80,95,105,"sfx/mortar_hit_01.wav",80,95,105,
,,,"small_airTrap_fireExplosion3",,,,,,,,,,,,,,,
,,,"small_airTrap_Explosion_3",,,,,,,,,,,,,,,
,,,"small_airTrap_wood",,,,,,,,,,,,,,,
,,,"small_airTrap_Hit",,,,,,,,,,,,,,,
,,,"small_airTrap_AirDefenceHit",,,,,,,,,,,,,,,
,,,"AirDefence3_hit2",,,,,,,,,,,,,,,
,,,"small_airTrap_wood",,,,,,,,,,,,,,,
,,,"small_airTrap_lightFlash",,,,,,,,,,,,,,,
"Large AirTrap Explosion",,,"large_airTrap_smoke2",50,"true",,"top",,,"sfx/cannon_fire3.wav",80,95,105,"sfx/mortar_hit_01.wav",80,95,105,
,,,"small_airTrap_Hit",,,,,,,,,,,,,,,
,,,"AirDefence3_hit2",,,,,,,,,,,,,,,
,,,"large_airTrap_explosion1",,,,,,,,,,,,,,,
,,,"large_airTrap_verticalLight",,,,,,,,,,,,,,,
,,,"small_airTrap_fireExplosion3",,,,,,,,,,,,,,,
,,,"large_airTrap_lightFlash",,,,,,,,,,,,,,,
,,,"large_airTrap_forceUp",,,,,,,,,,,,,,,
,,,"large_airTrap_forceDown",,,,,,,,,,,,,,,
"Golem Hit",,,"Golem_hit",,,,"top",,,"sfx/stone_golem_hit_01.wav",70,95,105,"sfx/giant_attack_06.wav",70,90,110,
,,,"DefenceHit",,,,,,,,,,,,,,,
,,,"Stone debris",,,,"top",,,,,,,,,,,
"Golem Attack",,,"Golem_hit",,,,"top",,,"sfx/stone_golem_attack_01.wav",80,95,105,,,,,
,,,"Stone debris",,,,"ground",,,,,,,,,,,
"Golem_split",,,"Stone_explosion",,,,"top",,,"sfx/stone_golem_death_01.wav",80,95,105,,,,,
,,,"Wizard_Tower_lightFlash",,,,,,,,,,,,,,,
,,,"Wizard_Tower_lightFlash2",,,,,,,,,,,,,,,
,,,"Fire_ballsBig",,,,,,,,,,,,,,,
,,,"Golem_hit",,,,,,,,,,,,,,,
,,,"Golem Split 1",,,,,,,,,,,,,,,
,,,"Golem Split 2",,,,,,,,,,,,,,,
"Small Golem Attack",,,"Stone debris small",,,,"top",,,"sfx/stone_golem_attack_01.wav",60,120,130,,,,,
,,,"Ground_ring",,,,"ground",,,,,,,,,,,
"Golem_die",,,"Stone_explosion",,,,"top",,,"sfx/stone_golem_death_01.wav",80,120,130,,,,,
,,,"Wizard_Tower_lightFlash",,,,,,,,,,,,,,,
,,,"Stone_explosion",,,,,,,,,,,,,,,
"Golem Deploy",,,"Deploy",20,,,"objects",,,"sfx/stone_golem_deploy_01.wav",80,95,105,"sfx/gob_attack_01.wav",70,100,100,
,,,"Grass",,,,"objects",,,"sfx/stone_golem_deploy_01.wav",80,95,105,,,,,
,,,"Place",,,,"objects",,,"sfx/stone_golem_deploy_01.wav",80,95,105,,,,,
"League_Promote",,,,,,,,,,"sfx/league_promote.wav",90,75,75,"sfx/league_promote.wav",70,75,75,
"League_Demote",,,,,,,,,,"sfx/league_demote.wav",90,75,75,"sfx/league_demote.wav",70,75,75,
"League_Bonus",,,,,,,,,,"sfx/league_bonus.wav",100,100,100,"sfx/league_bonus.wav",80,100,100,
"Dark Tower Attack 1",,,"DarkRay_1_light",10,"true","true","top","true",,"sfx/laser_loop_02.wav",40,100,100,"sfx/laser_loop_02.wav",40,100,100,"true"
"Dark Tower Attack 2",,,"DarkRay_2_light",20,"true","true","top","true",,"sfx/laser_loop_02.wav",60,120,120,"sfx/laser_loop_02.wav",50,120,120,"true"
"Dark Tower Attack 3",,,"DarkRay_3_light",30,"true","true","top","true",,"sfx/laser_loop_02.wav",80,140,140,"sfx/laser_loop_02.wav",60,140,140,"true"
"Dark Tower Hit",,,"Dark Tower Hit",,,,"top",,,,,,,,,,,
,,,"Dark Tower Hit sparks",,,,,,,,,,,,,,,
,,,"Light Dust",,,,,,,,,,,,,,,
"Dark Tower Up 2",,,"DarkRay Up2",30,,,"objects",,,"sfx/beam_up_02.wav",60,90,90,"sfx/beam_up_02.wav",60,90,90,
"Dark Tower Up 3",,,"DarkRay Up3",40,,,"objects",,,"sfx/beam_up_02.wav",75,110,110,"sfx/beam_up_02.wav",75,110,110,
"Dark Tower Load",,,"Dark Tower Load",,,,"top",,,"sfx/darktower_reload_01.wav",80,100,,"sfx/darktower_reload_01.wav",80,100,,
"Dark Tower Pickup",,,"Grass",,"true",,"objects",,,"sfx/darktower_pickup_01.wav",80,100,100,"sfx/darktower_pickup_01.wav",80,100,100,
"Dark Tower Placing",,,"Grass",,"true",,"objects",,,"sfx/darktower_place_01.wav",80,100,100,"sfx/darktower_place_01.wav",80,100,100,
"Dark Tower No Ammo",,,"Dark Tower Empty",,,,"top",,,"sfx/darktower_noammo_02.wav",80,100,,"sfx/darktower_noammo_02.wav",80,100,,
"Freeze deploy lvl1",,,"Freeze_glow_blue_lvl1",,"true",,"ground",,,"sfx/freeze_spell_01.wav",80,90,90,"sfx/mage_attack_02.wav",70,55,55,
,,,"Freeze2_lvl1",,,,,,,,,,,,,,,
,,,"Freeze3_lvl1",,,,,,,,,,,,,,,
,,,"Freeze1_lvl1",,,,,,,,,,,,,,,
"Freeze deploy2 lvl1",,,"Freeze_dots1_lvl1",,"true",,"top",,,,,,,,,,,
,,,"Freeze_dots2_lvl1",,,,,,,,,,,,,,,
,,,"Freeze_crystal_lvl1",,,,,,,,,,,,,,,
"Freeze deploy lvl2",,,"Freeze_glow_blue_lvl2",,"true",,"ground",,,"sfx/freeze_spell_01.wav",80,90,90,"sfx/mage_attack_02.wav",70,55,55,
,,,"Freeze2_lvl2",,,,,,,,,,,,,,,
,,,"Freeze3_lvl2",,,,,,,,,,,,,,,
,,,"Freeze1_lvl2",,,,,,,,,,,,,,,
"Freeze deploy2 lvl2",,,"Freeze_dots1_lvl2",,"true",,"top",,,,,,,,,,,
,,,"Freeze_dots2_lvl2",,,,,,,,,,,,,,,
,,,"Freeze_crystal_lvl2",,,,,,,,,,,,,,,
"Freeze deploy lvl3",,,"Freeze_glow_blue_lvl3",,"true",,"ground",,,"sfx/freeze_spell_01.wav",80,90,90,"sfx/mage_attack_02.wav",70,55,55,
,,,"Freeze2_lvl3",,,,,,,,,,,,,,,
,,,"Freeze3_lvl3",,,,,,,,,,,,,,,
,,,"Freeze1_lvl3",,,,,,,,,,,,,,,
"Freeze deploy2 lvl3",,,"Freeze_dots1_lvl3",,"true",,"top",,,,,,,,,,,
,,,"Freeze_dots2_lvl3",,,,,,,,,,,,,,,
,,,"Freeze_crystal_lvl3",,,,,,,,,,,,,,,
"Freeze deploy lvl4",,,"Freeze_glow_blue_lvl4",,"true",,"ground",,,"sfx/freeze_spell_01.wav",80,90,90,"sfx/mage_attack_02.wav",70,55,55,
,,,"Freeze2_lvl4",,,,,,,,,,,,,,,
,,,"Freeze3_lvl4",,,,,,,,,,,,,,,
,,,"Freeze1_lvl4",,,,,,,,,,,,,,,
"Freeze deploy2 lvl4",,,"Freeze_dots1_lvl4",,"true",,"top",,,,,,,,,,,
,,,"Freeze_dots2_lvl4",,,,,,,,,,,,,,,
,,,"Freeze_crystal_lvl4",,,,,,,,,,,,,,,
